accX,accY,accZ,gyroX,gyroY,gyroZ
0.18,0.20,1.61,0.02,-2.35,0.47
0.18,0.20,1.61,0.01,-2.33,0.52
0.18,0.20,1.61,0.03,-2.36,0.53
0.18,0.20,1.61,-0.10,-2.21,0.53
0.18,0.20,1.61,-0.05,-2.23,0.53
0.18,0.20,1.61,-0.08,-2.30,0.53
0.18,0.20,1.61,0.06,-2.26,0.46
0.18,0.20,1.61,-0.13,-2.28,0.50
0.18,0.20,1.61,0.07,-2.22,0.51
0.18,0.20,1.61,-0.06,-2.44,0.49
0.18,0.20,1.61,0.00,-2.24,0.47
0.18,0.20,1.61,-0.05,-2.40,0.46
0.18,0.20,1.61,0.17,-2.24,0.42
0.18,0.20,1.61,-0.08,-2.47,0.61
0.18,0.20,1.61,-0.06,-2.18,0.43
0.18,0.20,1.61,-0.08,-2.29,0.50
0.18,0.20,1.61,0.08,-2.37,0.43
0.18,0.20,1.61,-0.05,-2.48,0.53
0.18,0.21,1.61,-0.08,-2.23,0.50
0.18,0.20,1.61,-0.16,-2.22,0.59
0.18,0.20,1.61,-0.24,-2.42,0.58
0.17,0.20,1.61,-0.18,-2.20,0.55
0.18,0.20,1.61,-0.11,-2.19,0.51
0.18,0.20,1.61,0.04,-2.47,0.43
0.18,0.20,1.61,-0.05,-2.48,0.50
0.18,0.20,1.61,-0.01,-1.99,0.56
0.18,0.20,1.61,0.00,-2.35,0.45
0.18,0.20,1.61,0.05,-2.66,0.50
0.18,0.20,1.61,-0.05,-2.27,0.41
0.18,0.20,1.61,-0.01,-2.19,0.54
0.18,0.20,1.61,-0.04,-2.31,0.50
0.18,0.20,1.61,-0.04,-2.43,0.48
0.18,0.21,1.61,-0.16,-2.37,0.51
0.18,0.20,1.61,-0.12,-2.17,0.50
0.18,0.20,1.61,-0.12,-2.33,0.56
0.18,0.20,1.61,0.22,-2.33,0.52
0.18,0.20,1.61,0.13,-2.39,0.52
0.18,0.20,1.61,0.03,-2.29,0.50
0.18,0.20,1.61,-0.18,-2.19,0.51
0.18,0.20,1.61,0.11,-2.30,0.47
0.18,0.20,1.61,-0.03,-2.23,0.46
0.18,0.21,1.61,0.03,-2.08,0.50
0.18,0.20,1.61,-0.06,-2.29,0.37
0.18,0.20,1.61,0.03,-2.58,0.48
0.18,0.20,1.61,-0.15,-2.53,0.49
0.18,0.20,1.61,-0.08,-2.35,0.46
0.18,0.20,1.61,-0.09,-2.58,0.53
0.18,0.20,1.61,0.11,-2.41,0.53
0.18,0.20,1.61,0.42,-2.23,0.42
0.18,0.20,1.61,0.50,-2.36,0.49
0.18,0.21,1.61,0.26,-2.29,0.52
0.18,0.21,1.61,0.40,-1.85,0.48
0.18,0.20,1.61,-0.11,-2.37,0.47
0.18,0.21,1.61,-0.01,-2.15,0.48
0.17,0.20,1.61,-0.03,-1.84,0.36
0.17,0.20,1.60,-0.25,-1.95,0.60
0.17,0.20,1.61,-0.05,-1.94,0.46
0.18,0.20,1.61,-0.14,-2.07,0.47
0.18,0.21,1.61,0.07,-2.10,0.50
0.18,0.21,1.61,0.33,-2.44,0.47
0.18,0.20,1.61,-0.03,-2.76,0.61
0.18,0.20,1.61,0.25,-2.06,0.44
0.18,0.20,1.61,-0.09,-2.06,0.63
0.18,0.21,1.61,0.29,-2.22,0.57
0.17,0.21,1.62,0.41,-2.18,0.50
0.18,0.20,1.61,0.14,-2.15,0.46
0.18,0.20,1.61,0.47,-2.31,0.42
0.17,0.20,1.62,-0.21,-2.24,0.50
0.18,0.20,1.61,0.10,-2.16,0.48
0.18,0.20,1.61,0.29,-2.51,0.43
0.17,0.21,1.61,0.31,-1.63,0.49
0.18,0.20,1.61,-0.04,-1.99,0.54
0.18,0.21,1.60,0.50,-2.17,0.56
0.18,0.20,1.61,0.66,-2.14,0.40
0.18,0.21,1.61,0.97,-1.56,0.37
0.18,0.21,1.61,0.53,-1.65,0.29
0.18,0.21,1.61,0.57,-1.74,0.39
0.18,0.21,1.61,0.35,-2.24,0.46
0.18,0.21,1.61,0.56,-2.11,0.40
0.18,0.20,1.61,0.95,-2.66,0.37
0.17,0.21,1.60,0.86,-1.59,0.29
0.17,0.20,1.62,0.46,-1.82,0.48
0.17,0.22,1.61,1.81,-0.89,0.34
0.17,0.20,1.62,0.35,-2.55,0.50
0.17,0.21,1.61,1.43,-1.00,0.32
0.17,0.21,1.61,-0.18,-2.65,0.60
0.17,0.21,1.61,0.63,-2.30,0.36
0.17,0.21,1.61,-0.31,-2.51,0.60
0.17,0.21,1.61,0.32,-2.24,0.37
0.18,0.21,1.61,-0.10,-2.52,0.50
0.17,0.21,1.61,0.24,-2.10,0.50
0.17,0.21,1.61,0.18,-2.60,0.45
0.18,0.21,1.61,0.35,-2.25,0.37
0.17,0.21,1.61,0.37,-2.44,0.34
0.17,0.21,1.61,0.54,-2.05,0.43
0.17,0.21,1.60,0.77,-2.14,0.40
0.17,0.21,1.61,1.05,-1.60,0.43
0.17,0.21,1.60,1.60,-1.35,0.33
0.17,0.21,1.62,1.16,-0.93,0.43
0.17,0.21,1.60,1.98,-0.45,0.22
0.17,0.21,1.62,1.17,-1.32,0.40
0.17,0.21,1.60,2.20,-1.67,0.15
0.17,0.21,1.62,0.68,-1.66,0.49
0.17,0.22,1.61,2.26,-1.57,0.27
0.17,0.21,1.61,0.35,-2.30,0.62
0.17,0.21,1.62,0.30,-1.98,0.56
0.17,0.21,1.61,-0.06,-2.18,0.57
0.18,0.22,1.62,-0.45,-3.04,0.70
0.17,0.21,1.59,-0.17,-4.20,0.61
0.17,0.21,1.62,-2.67,-4.04,0.95
0.16,0.21,1.61,-0.85,-1.64,0.61
0.18,0.21,1.61,-1.32,-4.48,0.66
0.18,0.22,1.61,-1.42,-5.10,0.66
0.16,0.21,1.60,-0.84,-3.27,0.48
0.18,0.21,1.62,-2.79,-3.66,0.84
0.18,0.21,1.61,-1.34,-4.05,0.68
0.18,0.21,1.61,-2.46,-5.29,0.74
0.18,0.21,1.60,-1.63,-4.55,0.62
0.18,0.20,1.61,-1.48,-3.47,0.71
0.18,0.21,1.61,-0.35,-1.37,0.63
0.19,0.21,1.60,0.27,-3.40,0.49
0.18,0.21,1.62,0.95,-1.77,0.41
0.18,0.21,1.60,1.12,-1.87,0.35
0.17,0.21,1.61,0.21,-2.35,0.63
0.18,0.21,1.60,0.66,-1.37,0.46
0.17,0.22,1.62,1.82,-0.13,0.26
0.17,0.21,1.59,0.68,-3.07,0.43
0.16,0.20,1.62,-0.56,-0.94,0.69
0.19,0.22,1.62,0.95,-1.40,0.42
0.19,0.21,1.61,-1.72,-4.79,0.92
0.17,0.21,1.62,-1.07,-3.14,0.87
0.18,0.21,1.62,-2.54,-2.69,0.79
0.19,0.19,1.58,-3.01,-4.93,0.60
0.17,0.20,1.62,-1.65,-3.36,0.86
