accX,accY,accZ,gyroX,gyroY,gyroZ
0.04,0.23,1.53,7.35,13.49,72.37
0.06,0.27,1.50,5.98,-4.22,79.22
0.12,0.25,1.54,3.61,-10.51,82.88
0.12,0.26,1.61,4.99,-13.50,81.09
0.12,0.31,1.61,8.61,-18.52,79.85
0.18,0.33,1.66,14.93,-21.50,77.22
0.26,0.37,1.65,20.46,-26.61,66.77
0.33,0.40,1.68,23.32,-22.02,53.15
0.40,0.41,1.78,31.11,-8.32,38.36
0.40,0.37,1.94,29.09,4.62,23.74
0.25,0.47,2.00,43.89,27.89,18.77
0.19,0.71,1.86,72.53,18.82,27.05
0.29,0.76,1.51,54.31,19.74,40.85
0.43,0.47,1.70,-18.33,41.31,40.73
0.10,-0.11,2.00,-63.02,84.95,33.26
-0.18,-0.27,2.00,-16.75,44.44,38.55
-0.02,-0.01,1.66,71.98,-34.89,44.73
0.30,0.07,1.30,64.30,-27.37,38.75
0.24,0.12,1.15,41.32,27.11,34.39
0.09,0.20,1.28,35.11,48.67,42.57
0.06,0.23,1.39,37.28,42.46,54.74
0.10,0.30,1.39,26.76,12.24,59.98
0.20,0.27,1.32,14.93,-6.21,63.74
0.30,0.26,1.30,-0.79,-8.48,67.74
0.29,0.24,1.35,-12.86,6.62,69.30
0.30,0.21,1.38,-5.39,5.13,66.31
0.32,0.24,1.34,-8.88,1.18,62.57
0.34,0.24,1.37,-21.19,0.40,59.24
0.34,0.24,1.38,-21.70,-1.21,49.98
0.31,0.24,1.42,-19.59,4.43,42.72
0.23,0.26,1.44,-8.78,9.69,39.60
0.18,0.28,1.48,-5.47,6.73,37.45
0.19,0.29,1.48,4.43,4.45,38.64
0.20,0.32,1.53,13.58,16.45,45.03
0.20,0.33,1.60,24.56,20.19,51.19
0.29,0.34,1.68,20.48,11.54,50.83
0.35,0.28,1.82,7.35,11.07,47.58
0.30,0.24,1.98,5.60,14.52,49.90
0.26,0.36,2.00,29.06,6.74,57.41
0.38,0.59,1.68,52.21,10.31,64.14
0.34,0.67,1.53,20.78,46.80,71.49
0.12,0.47,2.00,-54.82,58.59,74.97
0.03,-0.15,2.00,-96.63,21.80,73.17
0.08,-0.27,2.00,-13.67,-29.73,73.13
0.33,-0.05,1.74,38.75,-38.81,69.50
0.33,0.02,1.44,25.57,8.35,52.80
0.18,0.10,1.32,31.95,29.82,37.10
0.10,0.18,1.25,34.68,41.46,32.95
0.03,0.20,1.25,34.30,50.30,34.55
0.01,0.23,1.23,35.64,43.25,38.81
0.08,0.17,1.28,26.75,32.10,41.72
0.15,0.15,1.34,19.48,21.56,39.73
0.16,0.16,1.37,23.85,25.54,43.83
0.14,0.20,1.40,39.05,29.27,50.25
0.13,0.25,1.46,40.35,26.31,51.37
0.07,0.31,1.41,32.68,16.75,55.52
0.12,0.34,1.43,7.02,-6.57,60.46
0.13,0.34,1.47,-5.82,-10.46,58.33
0.04,0.39,1.57,-9.82,-8.63,57.35
0.01,0.44,1.59,-24.29,-34.42,58.68
0.20,0.44,1.60,-37.33,-54.86,54.12
0.36,0.26,1.80,-32.06,-32.79,45.93
0.37,0.23,1.96,-12.98,-10.75,36.01
0.34,0.20,2.00,-3.84,-0.62,24.67
0.25,0.23,2.00,13.48,-6.45,13.71
0.31,0.49,1.93,44.04,-30.01,11.66
0.52,0.56,1.62,42.66,-8.38,21.56
0.42,0.38,1.78,4.55,37.44,14.45
0.26,0.17,2.00,3.54,34.23,11.66
0.14,0.06,2.00,10.85,20.44,15.51
0.20,0.06,1.76,35.84,-6.92,21.55
0.32,0.07,1.43,41.83,-7.48,22.40
0.36,0.03,1.38,30.90,9.92,21.55
0.29,0.05,1.40,32.24,18.81,16.77
0.22,0.11,1.34,38.11,23.96,18.94
0.23,0.17,1.26,38.96,16.49,21.99
0.25,0.18,1.21,24.49,11.67,20.13
0.25,0.20,1.19,5.15,5.17,13.18
0.16,0.22,1.26,-14.53,3.26,9.23
0.19,0.21,1.26,-13.25,-11.54,10.08
0.25,0.22,1.21,-20.42,-10.00,10.41
0.29,0.24,1.23,-33.33,-4.75,4.61
0.24,0.26,1.32,-43.74,6.80,3.40
0.11,0.28,1.49,-37.57,9.67,4.87
0.15,0.20,1.54,-27.39,-12.18,10.48
0.32,0.20,1.49,-29.08,-22.79,7.26
0.27,0.28,1.53,-35.92,-2.11,6.16
0.15,0.31,1.76,-21.84,15.37,10.94
0.16,0.38,1.86,11.99,0.33,22.29
0.31,0.35,1.86,20.02,-7.61,25.67
0.34,0.32,1.98,27.21,12.56,25.57
0.33,0.40,2.00,26.23,11.97,30.55
0.35,0.59,1.90,39.11,14.57,43.48
0.30,0.48,1.97,2.97,28.33,51.31
0.30,0.21,2.00,-36.45,-5.54,40.47
0.23,-0.16,2.00,-68.79,-29.07,29.05
0.22,-0.35,2.00,-38.59,-46.15,24.08
0.26,-0.12,1.66,29.98,-29.57,24.96
0.22,-0.04,1.39,34.61,14.95,24.73
0.19,0.03,1.24,36.84,35.78,13.79
0.04,0.20,1.13,27.41,52.87,3.14
-0.07,0.21,1.20,7.98,58.31,10.44
-0.08,0.22,1.32,2.14,35.78,15.40
0.06,0.16,1.29,4.04,14.22,20.29
0.12,0.18,1.29,3.53,21.54,25.03
0.11,0.16,1.38,-5.78,21.83,30.69
0.06,0.17,1.44,-0.40,14.30,38.11
0.09,0.23,1.40,7.05,-8.42,44.56
0.17,0.25,1.35,0.89,-16.56,48.23
0.17,0.29,1.36,2.34,-3.90,50.48
0.07,0.33,1.49,0.95,9.08,55.31
-0.01,0.31,1.80,-16.65,-8.51,58.38
0.06,0.34,1.82,-11.39,-55.98,52.38
0.33,0.29,1.77,-9.08,-74.82,44.03
0.50,0.23,1.83,-0.79,-52.56,31.54
0.47,0.25,1.93,14.90,-18.55,21.07
0.40,0.26,2.00,32.29,9.67,13.35
0.38,0.29,2.00,53.47,13.17,1.30
0.40,0.64,1.90,66.12,5.20,-8.90
0.59,0.67,1.53,64.09,16.65,-5.68
0.64,0.37,1.69,12.29,62.61,-12.97
0.29,-0.14,2.00,-38.61,89.61,-25.71
0.01,-0.21,2.00,-9.40,37.13,-26.10
0.20,0.06,1.59,49.58,-35.81,-24.63
0.29,0.18,1.22,30.61,1.86,-13.68
0.25,0.18,1.10,20.74,13.14,-16.29
0.21,0.22,1.16,11.54,17.21,-17.12
0.16,0.17,1.31,2.03,12.24,-12.95
0.21,0.19,1.21,6.94,-8.73,-10.25
0.29,0.18,1.18,-8.77,-17.72,-11.20
0.35,0.15,1.18,-22.86,-19.62,-16.09
0.28,0.13,1.29,-30.54,-4.87,-16.34
0.26,0.13,1.32,-20.28,-6.79,-12.17
0.29,0.16,1.33,-13.83,-12.02,-10.48
0.31,0.21,1.31,-15.14,-18.65,-13.74
0.36,0.22,1.37,-21.48,-21.52,-17.60
0.34,0.18,1.46,-15.81,-14.11,-19.50
0.26,0.22,1.50,-3.15,-13.90,-16.30
0.24,0.26,1.55,-4.78,-16.94,-13.47
0.30,0.29,1.63,-9.41,-26.95,-13.92
0.35,0.26,1.76,-4.96,-17.04,-14.99
0.30,0.25,2.00,12.60,-5.04,-9.09
0.19,0.30,2.00,18.34,-15.08,-3.21
0.39,0.33,1.92,20.65,-37.18,-0.47
0.46,0.51,1.75,29.23,-8.72,5.99
0.31,0.60,1.72,-11.15,19.34,6.30
0.06,0.45,1.90,-60.95,20.61,11.57
0.03,-0.02,2.00,-90.02,-13.09,14.21
0.21,-0.21,2.00,-31.49,-57.83,11.65
0.44,-0.08,1.73,2.41,-47.45,5.58
0.38,-0.09,1.58,12.82,18.21,-0.50
0.17,0.08,1.46,35.39,53.76,-2.47
0.08,0.15,1.40,32.61,54.83,-1.72
0.08,0.21,1.31,25.99,37.42,-2.56
0.13,0.20,1.26,16.97,28.85,-1.94
0.16,0.18,1.34,4.59,28.57,2.34
0.13,0.17,1.35,7.07,25.16,8.98
0.16,0.17,1.40,13.21,16.54,12.31
0.16,0.24,1.30,21.77,0.04,15.66
0.17,0.29,1.32,8.42,-7.29,18.33
0.17,0.32,1.30,5.08,-19.60,21.40
0.16,0.32,1.38,-5.49,-26.75,25.66
0.16,0.35,1.40,-3.88,-38.54,28.81
0.24,0.34,1.45,-13.42,-44.14,26.58
0.24,0.29,1.65,-19.07,-49.47,19.10
0.36,0.31,1.69,-3.85,-65.32,10.73
0.48,0.33,1.65,-4.55,-52.90,1.46
0.51,0.30,1.75,1.21,-28.91,-7.06
0.49,0.27,1.81,10.15,-9.96,-18.73
0.36,0.32,1.91,9.00,-4.71,-35.82
0.36,0.67,1.79,19.88,-27.37,-42.69
0.52,0.58,1.56,6.66,-12.01,-33.94
0.57,0.11,2.00,-36.12,41.72,-26.62
0.39,-0.13,2.00,-5.53,34.48,-37.28
0.32,0.04,2.00,8.09,0.07,-45.41
0.30,0.15,1.56,12.86,-6.68,-45.43
0.29,0.24,1.31,10.54,8.30,-40.36
0.23,0.26,1.32,13.69,32.07,-29.94
0.23,0.22,1.40,18.67,33.54,-23.12
0.22,0.20,1.38,19.36,21.26,-21.43
0.21,0.20,1.37,8.30,-0.69,-21.64
0.26,0.18,1.28,-2.58,-15.35,-17.81
0.30,0.14,1.28,-13.31,-15.48,-17.97
0.30,0.17,1.24,-11.51,-17.70,-21.47
0.29,0.20,1.27,-8.00,-13.96,-23.13
0.26,0.25,1.31,-11.27,-15.40,-22.57
0.26,0.29,1.29,-15.85,-21.56,-19.15
0.27,0.26,1.36,-21.51,-16.74,-14.24
0.28,0.24,1.40,-14.94,-13.08,-10.25
0.22,0.16,1.59,-17.23,-3.78,-8.36
0.16,0.15,1.67,-6.97,-15.76,-7.87
0.14,0.24,1.65,-3.22,-23.34,-1.00
0.19,0.28,1.60,7.00,-25.05,7.93
0.30,0.31,1.57,9.57,-18.39,12.70
0.26,0.36,1.60,1.63,-4.63,13.69
0.19,0.32,1.74,-7.51,0.69,17.70
0.17,0.42,1.78,1.87,-12.10,26.71
0.33,0.54,1.62,12.27,-13.76,36.87
0.30,0.39,1.75,-24.67,1.01,31.15
0.10,0.24,2.00,-58.39,-32.62,16.40
0.11,0.08,2.00,-58.20,-88.83,18.77
0.29,0.05,1.84,-46.53,-106.61,41.68
0.56,-0.09,1.65,-25.74,-74.52,56.45
0.69,-0.15,1.51,-7.95,-16.83,55.69
0.59,-0.09,1.55,-0.25,37.29,38.96
0.38,0.01,1.50,15.69,72.05,33.33
0.23,0.05,1.54,25.32,77.40,31.88
0.21,0.06,1.50,33.84,57.46,24.56
0.20,0.13,1.38,14.69,31.29,15.99
0.19,0.12,1.35,-3.42,19.10,12.44
0.21,0.13,1.33,-1.66,17.55,14.41
0.19,0.16,1.34,7.24,24.09,20.19
0.19,0.19,1.40,7.35,18.14,24.15
0.23,0.21,1.41,-0.02,-0.34,22.54
0.26,0.23,1.43,-4.32,-5.01,24.54
0.24,0.24,1.49,1.61,2.27,30.72
0.24,0.22,1.57,7.72,3.61,33.84
0.25,0.22,1.65,10.76,-4.14,35.35
0.32,0.24,1.70,4.63,-23.90,27.02
0.43,0.20,1.69,0.61,-28.28,17.54
0.44,0.15,1.82,5.68,-4.97,12.32
0.40,0.13,1.95,17.43,3.92,5.24
0.29,0.18,1.93,23.93,-1.95,-5.10
0.36,0.43,1.82,29.67,-26.76,-9.09
0.57,0.37,1.61,26.80,-7.16,-3.62
0.53,0.16,1.91,-9.25,34.11,-5.29
0.36,-0.10,2.00,-7.91,39.14,-13.80
0.18,-0.12,2.00,-13.18,10.38,-20.59
0.20,-0.02,1.68,22.37,-31.91,-18.16
0.37,0.03,1.34,17.60,-31.13,-18.30
0.37,0.06,1.22,12.95,0.95,-16.86
0.30,0.09,1.32,9.49,34.77,-16.55
0.09,0.18,1.38,11.94,52.87,1.50
0.02,0.12,1.49,5.57,50.06,25.12
0.04,-0.01,1.63,2.69,21.68,36.97
0.11,0.01,1.50,-6.81,-20.78,37.14
0.18,0.06,1.34,-17.30,-33.23,40.52
0.19,0.12,1.31,-15.27,-26.77,48.30
0.20,0.18,1.32,-16.05,-25.12,52.17
0.28,0.10,1.39,-27.88,-31.08,53.69
0.40,0.04,1.47,-35.40,-34.29,49.60
