accX,accY,accZ,gyroX,gyroY,gyroZ
0.03,-0.10,1.17,197.69,-73.27,-46.71
0.00,-0.03,0.92,177.97,-93.53,-50.58
-0.07,0.02,0.78,157.59,-111.15,-57.77
-0.14,0.08,0.63,145.07,-131.11,-58.16
-0.27,0.10,0.53,137.47,-152.10,-56.71
-0.32,0.14,0.44,138.83,-182.95,-41.50
-0.24,0.16,0.32,135.43,-144.67,-21.53
-0.15,0.24,0.06,110.73,-62.44,-7.34
-0.08,0.29,-0.05,58.42,-16.55,2.43
-0.06,0.31,0.01,5.79,-35.63,-8.62
-0.06,0.30,0.19,-34.08,-39.54,-17.91
-0.10,0.29,0.25,-50.58,-20.32,-26.48
-0.20,0.26,0.27,-53.96,21.40,-32.59
-0.34,0.24,0.22,-51.13,52.08,-25.44
-0.36,0.22,0.14,-67.03,69.00,2.85
-0.16,0.23,0.29,-107.03,89.68,37.22
-0.04,0.20,0.50,-125.32,157.03,45.99
0.01,0.18,0.55,-114.73,153.93,12.73
-0.14,0.12,0.54,-115.94,136.63,-11.40
-0.21,0.10,0.73,-153.91,106.13,-0.10
-0.04,0.08,1.13,-183.82,82.86,21.10
0.12,0.04,1.38,-171.14,85.80,5.19
-0.03,-0.01,1.42,-150.26,70.31,-34.98
-0.26,-0.07,1.54,-161.69,14.36,-39.54
-0.10,-0.13,1.91,-180.22,-34.90,4.01
0.19,-0.22,2.00,-153.92,-65.01,32.64
0.48,-0.26,2.00,-105.82,-95.92,34.99
0.66,-0.32,2.00,-38.69,-70.94,25.47
0.69,-0.32,2.00,52.99,-28.28,-1.98
0.58,-0.31,2.00,134.48,-12.56,-32.69
0.47,-0.25,1.72,183.98,-38.88,-62.75
0.32,-0.18,1.45,202.37,-82.44,-88.93
0.18,-0.11,1.26,194.41,-86.83,-100.23
0.09,-0.03,1.11,180.44,-91.16,-93.37
0.03,0.02,0.98,171.78,-83.21,-85.53
-0.04,0.07,0.86,166.28,-71.75,-81.31
-0.09,0.13,0.76,168.42,-58.27,-72.74
-0.11,0.13,0.60,183.01,-34.47,-65.45
-0.16,0.13,0.29,193.87,-18.68,-65.48
-0.22,0.20,-0.01,175.80,-4.22,-63.36
-0.33,0.26,-0.21,132.48,-22.98,-55.76
-0.40,0.26,-0.28,65.57,-29.01,-46.84
-0.43,0.27,-0.23,-6.72,-29.72,-26.81
-0.37,0.29,-0.06,-73.57,-17.13,-3.14
-0.26,0.28,0.14,-97.32,4.89,7.81
-0.22,0.22,0.20,-90.44,31.01,6.17
-0.33,0.18,0.19,-103.03,93.23,7.48
-0.30,0.16,0.22,-131.05,110.02,26.66
-0.21,0.14,0.40,-184.70,133.48,42.85
