accX,accY,accZ,gyroX,gyroY,gyroZ
-0.29,-0.20,1.68,230.00,202.13,249.99
-0.51,-0.28,1.82,242.84,125.50,249.99
-0.30,0.24,1.53,196.22,35.90,249.99
-0.15,0.42,1.36,30.59,-40.08,104.97
0.06,-0.03,1.36,-132.13,-117.46,-214.77
0.55,-0.08,1.13,-214.66,-226.91,-250.00
1.17,0.31,0.74,-250.00,-250.00,-250.00
1.64,0.21,0.59,-250.00,-250.00,-250.00
1.59,0.08,0.86,-250.00,-250.00,-250.00
1.56,0.69,0.48,23.54,-97.12,-211.34
2.00,1.46,-0.12,139.69,101.36,249.99
1.85,0.97,0.22,77.79,208.82,249.99
0.88,0.31,0.73,49.84,221.31,247.48
0.42,-0.26,1.25,70.37,233.51,249.99
0.00,-0.73,1.61,146.71,225.10,249.99
-0.28,-0.10,1.54,184.91,176.58,249.99
-0.64,0.35,1.82,10.82,47.18,13.79
-0.99,-0.89,2.00,-125.70,-148.98,-250.00
-0.35,-0.46,1.63,-48.48,-223.92,-236.89
0.59,0.30,0.80,-30.87,-250.00,-228.05
1.49,1.03,0.25,-86.01,-250.00,-250.00
1.73,0.98,0.25,-112.10,-250.00,-250.00
1.80,1.29,0.05,13.47,-112.93,-83.10
2.00,1.55,-0.12,71.17,63.84,249.99
1.89,0.67,0.22,48.39,192.70,249.99
1.42,-0.07,0.64,59.49,249.99,249.99
1.04,-0.48,1.06,124.21,249.99,249.99
0.52,-0.57,1.25,193.85,249.99,249.99
0.04,-0.48,1.46,249.82,249.04,249.99
-0.29,0.22,1.43,249.99,183.20,249.99
-0.42,1.21,1.48,83.49,73.54,128.63
-0.59,0.31,1.73,-176.99,-83.52,-250.00
-0.27,-0.35,1.57,-250.00,-215.07,-250.00
0.55,0.16,1.22,-250.00,-250.00,-250.00
1.13,0.52,0.73,-250.00,-250.00,-250.00
1.45,0.30,0.81,-238.30,-250.00,-250.00
1.52,0.18,0.64,-5.26,-148.19,-182.67
2.00,0.84,0.07,130.61,54.81,249.99
2.00,0.29,0.29,131.31,209.06,249.99
1.27,0.17,0.68,141.49,239.95,249.99
0.72,0.01,0.94,158.95,245.16,249.99
0.42,-0.29,1.24,152.77,231.70,249.99
-0.03,-0.19,1.40,167.53,194.44,249.99
-0.34,0.73,1.32,65.05,121.83,120.22
-0.59,0.35,1.94,-188.61,3.52,-229.16
-0.63,-0.62,1.96,-245.74,-138.24,-250.00
0.10,-0.30,1.60,-207.79,-201.47,-250.00
0.78,0.07,1.07,-172.49,-238.01,-250.00
1.32,0.36,0.72,-160.01,-250.00,-250.00
1.80,0.43,0.53,-117.82,-203.62,-250.00
2.00,0.21,0.46,-25.47,-56.30,-19.39
2.00,0.07,0.42,82.48,116.44,249.99
1.66,0.19,0.57,152.28,207.28,249.99
1.08,0.16,0.87,156.18,249.99,249.99
0.49,-0.11,1.23,168.45,243.16,249.99
-0.12,-0.26,1.55,199.55,200.42,249.99
-0.30,0.18,1.57,196.16,135.09,249.99
-0.30,0.80,1.52,34.56,38.12,131.09
-0.37,-0.04,1.72,-192.86,-88.07,-250.00
-0.12,-0.50,1.61,-246.30,-191.36,-250.00
0.52,-0.20,1.22,-227.49,-232.66,-250.00
1.23,0.07,0.84,-220.68,-247.01,-250.00
1.65,0.25,0.68,-196.01,-205.02,-250.00
1.81,0.22,0.66,-99.30,-97.95,-231.41
1.94,0.12,0.54,43.18,48.90,116.00
1.87,0.16,0.52,128.93,179.49,249.99
1.40,-0.04,0.76,168.90,239.23,249.99
0.74,-0.27,1.09,210.47,249.99,249.99
0.34,-0.06,1.30,248.04,234.27,249.99
-0.09,0.13,1.47,241.29,191.68,249.99
-0.28,0.42,1.47,183.59,119.42,249.99
-0.27,0.88,1.34,-4.89,28.95,110.07
-0.28,-0.20,1.63,-247.22,-77.96,-250.00
-0.31,-0.87,1.73,-250.00,-187.23,-250.00
0.25,-0.48,1.39,-246.78,-232.75,-250.00
0.89,-0.17,0.99,-243.77,-250.00,-250.00
1.39,-0.13,0.85,-217.59,-250.00,-250.00
1.80,-0.09,0.64,-41.52,-170.51,-237.06
2.00,0.47,-0.04,103.92,32.89,238.19
2.00,0.45,0.27,68.16,166.47,249.99
1.20,-0.16,1.05,53.18,187.52,207.11
0.42,-0.60,1.26,92.71,199.91,232.60
-0.04,-0.80,1.61,162.69,191.37,249.99
-0.41,-0.09,1.68,184.49,135.44,249.99
-1.02,0.55,1.71,-20.24,40.63,100.86
-0.90,-0.45,2.00,-148.97,-73.99,-136.00
-0.31,-0.73,1.79,-125.11,-160.13,-199.75
0.29,-0.43,1.22,-74.14,-215.29,-216.08
0.90,-0.06,0.82,-67.92,-244.83,-225.50
1.45,0.15,0.47,-79.99,-244.80,-250.00
1.94,0.10,0.23,-42.76,-160.83,-183.04
2.00,0.13,-0.01,50.97,-6.35,70.50
2.00,0.21,0.21,87.22,126.01,242.43
1.47,0.06,0.50,92.30,175.64,226.56
0.95,-0.31,0.86,91.55,205.17,226.32
0.55,-0.55,1.14,117.66,230.27,249.92
0.11,-0.43,1.32,157.39,247.83,249.99
-0.11,0.00,1.51,178.13,233.17,249.99
-0.63,0.42,1.62,142.56,160.77,249.99
-0.98,0.55,1.84,16.46,40.88,157.88
-1.01,-0.02,1.89,-114.45,-82.58,-18.57
-0.58,-0.18,1.62,-196.39,-183.65,-169.55
-0.17,-0.23,1.28,-241.98,-250.00,-243.77
0.32,-0.15,0.84,-250.00,-250.00,-250.00
0.84,-0.30,0.34,-250.00,-250.00,-250.00
1.52,0.05,-0.17,-250.00,-250.00,-250.00
1.61,0.10,-0.22,-250.00,-250.00,-207.98
1.76,-0.23,-0.22,-250.00,-231.50,-103.98
1.61,-0.44,-0.16,-159.29,-121.82,19.83
1.74,-0.44,-0.17,-60.10,-19.13,137.05
1.76,-0.43,-0.10,-22.09,63.94,171.01
1.29,-0.91,0.31,28.57,132.78,180.87
0.88,-0.95,0.67,145.68,169.29,249.99
0.54,-0.62,0.82,241.87,197.01,249.99
0.11,-0.49,1.10,249.99,196.70,249.99
-0.47,-0.64,1.53,249.99,146.89,249.99
-0.87,-0.12,1.65,184.20,50.48,249.99
-0.78,0.38,1.65,-90.41,-63.95,-26.88
-0.65,-0.90,1.63,-250.00,-193.21,-250.00
0.11,-0.65,1.00,-241.26,-250.00,-250.00
0.94,-0.04,0.20,-244.43,-250.00,-250.00
1.82,-0.20,-0.33,-250.00,-250.00,-250.00
2.00,-0.51,-0.28,-250.00,-169.85,-250.00
1.75,-1.05,0.01,-75.39,-40.95,-124.15
2.00,-0.16,-0.42,154.44,103.31,248.51
1.85,0.07,-0.35,184.83,209.57,249.99
1.14,-0.54,0.13,177.29,249.99,249.99
0.49,-1.04,0.56,238.68,249.99,249.99
-0.20,-1.10,1.09,249.99,249.99,249.99
-0.49,-0.49,1.41,249.99,171.38,249.99
-0.45,0.18,1.29,249.99,114.71,249.99
-0.36,1.15,1.08,217.95,53.96,249.99
-0.56,0.47,1.34,-215.95,-18.60,-146.02
-0.47,-0.74,1.29,-250.00,-112.63,-250.00
0.09,-0.87,0.89,-250.00,-175.19,-250.00
0.88,-0.58,0.29,-250.00,-211.73,-250.00
1.29,-0.54,-0.07,-250.00,-205.92,-250.00
1.22,-0.95,0.17,-250.00,-152.09,-250.00
1.41,-1.36,0.16,-42.67,-50.03,-34.02
1.81,-0.95,-0.34,249.99,77.85,249.99
1.36,-0.83,-0.06,249.99,163.38,249.99
0.67,-1.20,0.48,249.99,174.25,249.99
0.25,-1.23,0.83,249.99,148.97,249.99
-0.05,-1.03,1.02,249.99,115.61,249.99
-0.21,-0.60,1.09,249.99,81.77,249.99
-0.44,0.19,1.06,249.99,37.32,249.99
-0.60,1.22,1.14,62.74,-16.23,81.99
-0.73,-0.19,1.55,-250.00,-66.25,-250.00
-0.48,-1.06,1.33,-250.00,-149.78,-250.00
0.32,-0.75,0.64,-250.00,-184.57,-250.00
0.96,-0.53,0.17,-250.00,-162.35,-250.00
1.27,-0.52,0.02,-250.00,-127.98,-250.00
1.39,-0.68,0.23,-250.00,-86.37,-250.00
1.37,-1.16,0.19,-116.27,1.17,-131.73
1.51,-1.01,-0.08,172.96,104.74,249.99
1.21,-0.53,0.09,249.99,167.63,249.99
0.65,-0.45,0.55,245.89,170.08,249.99
0.16,-0.79,0.98,241.87,143.79,249.99
-0.08,-0.73,1.19,249.99,113.63,249.99
-0.21,-0.70,1.24,249.99,90.34,249.99
-0.40,0.22,1.13,158.62,44.39,155.76
-0.60,-0.14,1.57,-187.61,-14.66,-250.00
-0.40,-0.98,1.43,-250.00,-109.19,-250.00
0.28,-0.95,0.95,-250.00,-151.70,-250.00
0.85,-0.61,0.45,-250.00,-159.01,-250.00
1.29,-0.45,0.18,-250.00,-120.82,-250.00
1.36,-0.53,0.28,-152.08,-60.61,-250.00
1.46,-0.73,0.17,54.80,35.96,55.28
1.64,-0.75,-0.04,249.99,137.08,249.99
1.32,-0.88,0.22,249.99,202.62,249.99
0.75,-0.79,0.65,249.99,196.12,249.99
0.07,-0.70,1.20,249.99,148.38,249.99
-0.19,0.04,1.25,249.99,104.09,249.99
-0.61,1.18,1.37,249.99,34.04,249.99
-1.04,0.62,1.96,-165.03,-54.06,-164.98
-1.02,-0.67,1.87,-250.00,-119.01,-250.00
-0.38,-0.47,1.34,-250.00,-163.38,-250.00
0.45,-0.41,0.70,-250.00,-180.08,-250.00
1.22,-0.70,0.27,-250.00,-161.33,-250.00
1.38,-0.49,0.18,-250.00,-125.53,-250.00
1.37,-0.29,0.35,-250.00,-71.99,-250.00
1.72,0.02,0.19,-60.02,-35.06,-100.33
2.00,-0.15,-0.01,79.77,42.40,199.21
1.68,-0.39,0.10,140.93,120.90,249.99
0.93,-1.00,0.53,175.54,142.03,249.99
0.39,-1.23,0.87,249.99,121.96,249.99
0.11,-0.94,1.09,249.99,93.35,249.99
-0.31,-0.39,1.24,249.99,54.84,249.99
-0.53,0.82,1.54,104.58,8.19,170.88
-0.79,-0.41,1.67,-243.90,-15.59,-250.00
-0.52,-1.02,1.38,-250.00,-81.02,-250.00
0.14,-0.67,0.98,-250.00,-124.61,-250.00
0.75,-0.42,0.53,-245.06,-150.80,-250.00
1.28,-0.15,0.20,-237.35,-137.85,-250.00
1.51,-0.19,0.25,-158.87,-86.61,-250.00
1.73,-0.25,-0.02,58.17,-24.15,111.98
1.94,-0.31,-0.02,198.59,29.15,249.99
1.47,-0.83,0.15,226.36,110.34,249.99
0.78,-1.28,0.45,249.99,160.66,249.99
0.21,-0.99,0.83,249.99,170.05,249.99
-0.30,-0.35,1.21,249.99,133.41,249.99
-0.62,0.44,1.49,249.99,50.88,249.99
-0.54,1.00,1.80,-54.79,35.05,-10.76
-0.86,-1.08,1.63,-250.00,3.56,-250.00
-0.61,-1.54,1.36,-250.00,-64.05,-250.00
0.16,-0.99,0.94,-218.77,-113.82,-250.00
0.80,-0.48,0.49,-206.79,-142.22,-250.00
1.35,-0.08,0.19,-231.97,-106.41,-250.00
1.52,-0.12,0.26,-189.71,-34.00,-250.00
1.71,-0.50,0.32,-17.20,17.72,-12.29
1.67,-0.73,0.13,209.89,48.48,249.99
1.29,-0.97,0.26,249.99,107.28,249.99
0.70,-0.55,0.59,249.99,107.64,249.99
0.08,0.28,1.17,249.99,77.84,249.99
-0.62,0.42,1.59,148.70,33.87,249.99
-0.76,-0.40,1.58,-127.84,11.69,-121.15
-0.69,-1.19,1.35,-217.19,-21.33,-250.00
-0.45,-0.90,1.31,-205.30,-80.96,-250.00
-0.04,-0.75,1.14,-201.18,-125.61,-250.00
0.55,-0.66,0.64,-165.11,-163.48,-250.00
1.22,-0.44,0.23,-140.45,-143.34,-250.00
1.54,-0.13,0.11,-118.48,-100.30,-250.00
1.75,0.14,0.14,-89.31,-35.95,-179.85
1.77,-0.18,0.13,-20.50,38.41,42.03
1.52,-0.49,0.19,80.28,85.85,249.99
1.16,-0.66,0.41,151.32,119.11,249.99
0.65,-0.89,0.66,185.48,134.02,249.99
0.13,-1.08,0.87,216.80,122.97,249.99
-0.28,-0.97,1.13,249.99,87.23,249.99
-0.49,-0.19,1.33,244.06,32.92,249.99
-0.61,0.41,1.47,62.47,16.03,109.23
-0.64,-0.51,1.49,-194.07,22.23,-250.00
-0.51,-1.27,1.23,-242.86,-33.68,-250.00
0.05,-0.89,0.96,-200.70,-99.04,-250.00
0.61,-0.48,0.72,-188.86,-122.99,-250.00
1.03,-0.32,0.51,-160.42,-115.50,-250.00
1.64,-0.13,0.30,-82.04,-38.78,-173.58
2.00,-0.52,0.29,13.83,67.56,194.19
1.56,-0.76,0.26,152.34,106.41,249.99
1.09,-0.49,0.50,244.93,81.86,249.99
0.74,-0.50,0.81,249.99,78.03,249.99
0.12,-0.61,1.01,249.99,74.42,249.99
-0.43,-0.09,1.02,228.98,45.35,249.99
-0.65,0.94,1.45,-14.56,39.81,35.96
-0.94,-0.83,1.60,-250.00,34.58,-250.00
-1.09,-1.56,1.51,-250.00,-53.93,-250.00
-0.54,-1.28,1.21,-183.87,-122.17,-250.00
0.36,-0.79,0.71,-103.77,-166.73,-250.00
1.14,-0.25,0.28,-73.65,-155.09,-250.00
1.83,0.26,0.15,-105.80,-80.79,-250.00
1.99,0.16,0.22,-118.37,-9.45,-250.00
1.54,-0.16,0.35,-51.33,60.46,-93.82
1.39,-0.27,0.44,4.07,62.77,106.54
1.25,-0.50,0.53,62.28,71.89,249.99
0.90,-0.75,0.58,80.79,62.39,249.99
0.68,-1.07,0.82,98.27,26.62,249.99
0.22,-0.94,0.90,188.14,94.86,249.99
-0.22,-0.72,1.14,195.66,98.29,249.99
-0.65,-0.37,1.35,167.82,74.04,213.15
-0.68,-0.20,1.57,-26.80,2.22,-98.16
-0.70,-0.65,1.48,-128.07,-59.27,-250.00
-0.25,-0.76,1.23,-149.75,-127.85,-250.00
0.43,-0.53,0.76,-144.00,-167.75,-250.00
1.14,-0.28,0.36,-151.44,-151.82,-250.00
1.70,-0.12,0.15,-156.74,-91.64,-250.00
1.81,-0.37,0.25,-93.28,-9.17,-186.16
1.73,-0.55,0.22,59.75,20.40,165.70
1.83,-0.43,0.23,158.42,41.04,249.99
1.39,-0.65,0.46,181.80,81.62,249.99
0.59,-0.86,0.69,207.70,125.13,249.99
0.06,-0.70,0.98,220.47,131.83,249.99
-0.41,-0.53,1.22,221.98,97.67,249.99
-0.72,0.16,1.30,166.69,22.48,249.99
-0.70,0.47,1.58,-79.15,-2.14,-97.24
-0.87,-0.89,1.59,-250.00,-34.16,-250.00
-0.59,-1.32,1.30,-236.70,-108.86,-250.00
0.21,-0.82,0.85,-173.84,-156.25,-250.00
1.01,-0.26,0.39,-176.19,-157.78,-250.00
1.59,0.20,0.18,-212.61,-122.64,-250.00
1.69,0.08,0.28,-181.14,-41.79,-250.00
1.47,-0.19,0.34,-43.52,-4.97,-50.74
1.53,-0.16,0.25,90.09,12.52,249.99
1.44,-0.40,0.33,132.64,74.68,249.99
0.96,-1.18,0.54,139.68,142.59,249.99
0.57,-1.28,0.69,166.50,137.05,249.99
-0.06,-1.16,0.94,204.30,117.16,249.99
-0.74,-0.75,1.26,238.20,33.03,249.99
-0.82,0.71,1.53,138.87,-71.64,227.47
-0.59,0.13,1.81,-157.84,2.31,-250.00
-0.71,-1.19,1.35,-236.35,-49.26,-250.00
-0.08,-1.09,0.89,-159.23,-109.43,-250.00
0.76,-0.50,0.51,-126.38,-139.84,-250.00
1.35,-0.18,0.28,-137.56,-131.97,-250.00
1.76,-0.21,0.24,-115.39,-59.90,-250.00
1.72,-0.54,0.21,6.30,4.45,20.29
1.81,-0.41,0.18,131.55,38.61,249.99
1.61,-0.40,0.34,163.52,98.34,249.99
0.98,-0.69,0.58,152.27,130.93,249.99
0.35,-0.89,0.79,151.04,136.23,249.99
-0.09,-0.88,0.96,167.43,133.42,249.99
-0.55,-0.34,1.08,172.49,96.66,249.99
-1.12,0.31,1.63,30.10,35.18,2.59
-1.42,-0.51,1.89,-156.17,-35.64,-250.00
-0.92,-1.01,1.40,-186.48,-108.53,-250.00
-0.01,-0.80,0.86,-143.80,-161.71,-250.00
